Event,Hit,BarID.0,t0,x0,y0,z0,q0,BarID.1,t1,x1,y1,z1,q1,signal,target
153,0,268,8.662e+01,-5.113e-01,4.370e-01,1.051e+01,3.271e+01,269,9.603e+01,-6.946e-01,5.396e-01,1.109e+01,3.739e+00,0,0
157,0,87,4.621e+01,5.595e-02,-7.421e-02,6.061e+00,7.249e+01,256,1.105e+02,-4.199e-02,-8.058e-01,8.939e+00,1.856e+00,1,0
159,0,73,4.781e+01,-3.665e-02,1.309e-01,5.957e+00,2.685e+01,74,4.905e+01,-9.594e-02,2.334e-01,5.957e+00,6.085e+00,0,0
160,0,87,4.527e+01,5.179e-02,-7.421e-02,6.061e+00,6.780e+00,118,5.097e+01,-1.312e-01,-1.768e-01,6.669e+00,9.264e+00,0,0
164,0,86,4.698e+01,-4.238e-02,-1.767e-01,6.061e+00,8.165e+01,87,4.700e+01,4.444e-02,-7.421e-02,6.061e+00,4.092e+01,1,0
167,0,88,4.671e+01,6.524e-02,2.833e-02,6.061e+00,2.920e+01,119,5.124e+01,1.262e-01,-7.421e-02,6.669e+00,5.768e+01,1,0
168,0,135,5.168e+01,3.748e-02,-7.421e-02,6.773e+00,4.545e+01,256,1.162e+02,7.676e-01,-6.909e-01,1.041e+01,1.334e+00,0,0
169,0,104,4.910e+01,3.965e-02,2.833e-02,6.165e+00,4.283e+01,263,9.191e+01,3.829e-01,-7.568e-02,1.143e+01,5.801e+01,1,0
175,0,89,4.607e+01,-1.038e-01,1.309e-01,6.061e+00,3.946e+01,73,4.620e+01,-1.122e-01,1.309e-01,5.957e+00,1.367e+01,0,0
176,0,264,7.214e+01,-1.592e-01,1.452e-02,8.835e+00,6.852e+01,264,8.623e+01,2.479e-01,2.686e-02,1.061e+01,3.254e+00,1,0
182,0,88,5.085e+01,2.224e-02,2.833e-02,6.061e+00,3.794e+01,269,9.644e+01,-2.822e-01,5.396e-01,1.143e+01,1.562e+00,1,0
187,0,71,4.746e+01,-8.329e-03,-7.421e-02,5.957e+00,4.735e+01,264,6.551e+01,4.674e-02,1.452e-02,8.226e+00,5.432e+01,1,0
188,0,70,4.840e+01,1.012e-01,-1.768e-01,5.957e+00,3.880e+01,118,5.497e+01,1.484e-02,-1.768e-01,6.669e+00,5.230e+01,1,0
189,0,71,4.755e+01,4.255e-02,-7.421e-02,5.957e+00,5.490e+01,104,4.922e+01,4.033e-02,2.833e-02,6.165e+00,4.410e+01,1,0
